NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00169406012,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,897126,SBD,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],direct,897126,201002,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169406013,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,897126,SBD,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],direct,897126,201002,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169406090,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,897126,SBD,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],direct,897126,201003,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169406097,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,897126,SBD,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],direct,897126,201012,202004,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169406098,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,897126,SBD,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],direct,897126,201305,202004,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169406099,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,897126,SBD,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],direct,897126,201503,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169413001,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2398842,SBD,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],direct,2398842,202011,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169413013,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2398842,SBD,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],direct,2398842,202011,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169413211,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,1991311,SBD,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",direct,1991311,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169413212,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,1991311,SBD,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",direct,1991311,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
